stage,metric,value,ci_lower,ci_upper
search,true_positives,230,,
search,false_negatives,0,,
search,false_positives,262,,
search,recall,1.0,0.9835717853452937,1
search,precision,0.46747967479674796,0.4238137674691755,0.5116494933786436
abstract,true_positives,229,,
abstract,false_negatives,1,,
abstract,false_positives,154,,
abstract,recall_in_search,0.9956521739130435,0.9757868782595205,0.9992321089523359
abstract,recall_all_meta,0.9956521739130435,0.9757868782595205,0.9992321089523359
abstract,precision,0.597911227154047,0.5480675016077816,0.6458103026407791
fulltext,true_positives,54,,
fulltext,false_negatives,3,,
fulltext,false_positives,49,,
fulltext,additional_false_negatives,2,,
fulltext,recall_in_search,0.9473684210526315,0.8563022233952869,0.9819400319037189
fulltext,recall_all_meta,0.23478260869565218,0.1846376150743672,0.29364169878595536
fulltext,precision,0.5242718446601942,0.428696500548807,0.6181017503197687
fulltext_with_coords,true_positives,38,,
fulltext_with_coords,false_negatives,19,,
fulltext_with_coords,false_positives,15,,
fulltext_with_coords,recall_in_search,0.6666666666666666,0.5372226902277747,0.7750636401777372
fulltext_with_coords,recall_all_meta,0.16521739130434782,0.12280028125384804,0.21863426247147713
fulltext_with_coords,precision,0.7169811320754716,0.5842945799989226,0.8203386463704966
