run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v1-annotation-only,Affiliation-Merged,affiliation_attachment,99,39,True
v1-annotation-only-gpt5,Affiliation-Merged,affiliation_attachment,75,27,True
v1-annotation-only-lc,Affiliation-Merged,affiliation_attachment,85,29,True
v2,Affiliation-Merged,affiliation_attachment,129,43,True
v2-all_pmids,Affiliation-Merged,affiliation_attachment,121,39,True
v2-annotation-only,Affiliation-Merged,affiliation_attachment,102,40,True
v3-all_pmids,Affiliation-Merged,affiliation_attachment,119,38,True
v3-all_pmids-multi_analysis,Affiliation-Merged,affiliation_attachment,111,37,True
v3-all_pmids-multi_analysis-ft,Affiliation-Merged,affiliation_attachment,146,50,True
v3-all_pmids-multi_analysis-ft-gpt52,Affiliation-Merged,affiliation_attachment,62,28,True
v3-annotation-only,Affiliation-Merged,affiliation_attachment,42,24,True
v3-search-all_pmids,Affiliation-Merged,affiliation_attachment,298,53,True
v3-search-all_pmids-multi_analysis,Affiliation-Merged,affiliation_attachment,319,55,True
v3-search-all_pmids-multi_analysis-ft,Affiliation-Merged,affiliation_attachment,358,67,True
v1-annotation-only,Self-Merged,perception_self,73,33,True
v1-annotation-only-gpt5,Self-Merged,perception_self,56,19,True
v1-annotation-only-lc,Self-Merged,perception_self,61,29,True
v2,Self-Merged,perception_self,137,44,True
v2-all_pmids,Self-Merged,perception_self,102,38,True
v2-annotation-only,Self-Merged,perception_self,77,34,True
v3-all_pmids,Self-Merged,perception_self,104,39,True
v3-all_pmids-multi_analysis,Self-Merged,perception_self,98,36,True
v3-all_pmids-multi_analysis-ft,Self-Merged,perception_self,151,51,True
v3-all_pmids-multi_analysis-ft-gpt52,Self-Merged,perception_self,77,28,True
v3-annotation-only,Self-Merged,perception_self,63,31,True
v3-search-all_pmids,Self-Merged,perception_self,312,52,True
v3-search-all_pmids-multi_analysis,Self-Merged,perception_self,285,52,True
v3-search-all_pmids-multi_analysis-ft,Self-Merged,perception_self,343,70,True
v1-annotation-only,Others-Merged,perception_others,435,125,True
v1-annotation-only-gpt5,Others-Merged,perception_others,250,76,True
v1-annotation-only-lc,Others-Merged,perception_others,375,94,True
v2,Others-Merged,perception_others,885,236,True
v2-all_pmids,Others-Merged,perception_others,552,148,True
v2-annotation-only,Others-Merged,perception_others,444,123,True
v3-all_pmids,Others-Merged,perception_others,553,147,True
v3-all_pmids-multi_analysis,Others-Merged,perception_others,593,156,True
v3-all_pmids-multi_analysis-ft,Others-Merged,perception_others,567,160,True
v3-all_pmids-multi_analysis-ft-gpt52,Others-Merged,perception_others,272,88,True
v3-annotation-only,Others-Merged,perception_others,367,116,True
v3-search-all_pmids,Others-Merged,perception_others,1538,246,True
v3-search-all_pmids-multi_analysis,Others-Merged,perception_others,1598,248,True
v3-search-all_pmids-multi_analysis-ft,Others-Merged,perception_others,1515,258,True
v1-annotation-only,SocComm-Merged,social_communication,284,75,True
v1-annotation-only-gpt5,SocComm-Merged,social_communication,169,43,True
v1-annotation-only-lc,SocComm-Merged,social_communication,215,51,True
v2,SocComm-Merged,social_communication,504,119,True
v2-all_pmids,SocComm-Merged,social_communication,321,79,True
v2-annotation-only,SocComm-Merged,social_communication,302,76,True
v3-all_pmids,SocComm-Merged,social_communication,324,81,True
v3-all_pmids-multi_analysis,SocComm-Merged,social_communication,338,82,True
v3-all_pmids-multi_analysis-ft,SocComm-Merged,social_communication,355,99,True
v3-all_pmids-multi_analysis-ft-gpt52,SocComm-Merged,social_communication,145,45,True
v3-annotation-only,SocComm-Merged,social_communication,130,39,True
v3-search-all_pmids,SocComm-Merged,social_communication,830,126,True
v3-search-all_pmids-multi_analysis,SocComm-Merged,social_communication,854,127,True
v3-search-all_pmids-multi_analysis-ft,SocComm-Merged,social_communication,934,155,True
v1-annotation-only,ALL-Merged,social_processing_all,591,143,True
v1-annotation-only-gpt5,ALL-Merged,social_processing_all,341,96,True
v1-annotation-only-lc,ALL-Merged,social_processing_all,580,137,True
v2,ALL-Merged,social_processing_all,1025,253,True
v2-all_pmids,ALL-Merged,social_processing_all,687,168,True
v2-annotation-only,ALL-Merged,social_processing_all,609,143,True
v3-all_pmids,ALL-Merged,social_processing_all,699,169,True
v3-all_pmids-multi_analysis,ALL-Merged,social_processing_all,690,169,True
v3-all_pmids-multi_analysis-ft,ALL-Merged,social_processing_all,684,171,True
v3-all_pmids-multi_analysis-ft-gpt52,ALL-Merged,social_processing_all,321,100,True
v3-annotation-only,ALL-Merged,social_processing_all,587,147,True
v3-search-all_pmids,ALL-Merged,social_processing_all,1793,268,True
v3-search-all_pmids-multi_analysis,ALL-Merged,social_processing_all,1872,272,True
v3-search-all_pmids-multi_analysis-ft,ALL-Merged,social_processing_all,1754,274,True
v1-annotation-only,,all_abstract,742,154,False
v1-annotation-only-gpt5,,all_abstract,746,154,False
