stage,metric,value,ci_lower,ci_upper
search,true_positives,337,,
search,false_negatives,8,,
search,false_positives,148,,
search,recall,0.9768115942028985,0.9549170760847985,0.9882043864930592
search,precision,0.6948453608247422,0.6524651570628183,0.7341631495297466
abstract,true_positives,318,,
abstract,false_negatives,19,,
abstract,false_positives,55,,
abstract,recall_in_search,0.9436201780415431,0.9136276473275948,0.9636126895326946
abstract,recall_all_meta,0.9217391304347826,0.8885296423107668,0.9456598580240555
abstract,precision,0.8525469168900804,0.8129747029784985,0.884931260694302
fulltext,true_positives,293,,
fulltext,false_negatives,43,,
fulltext,false_positives,42,,
fulltext,additional_false_negatives,24,,
fulltext,recall_in_search,0.8720238095238095,0.8320524804085077,0.9035843574594873
fulltext,recall_all_meta,0.8492753623188406,0.8076869402350149,0.8831710308326559
fulltext,precision,0.8746268656716418,0.8348655465668411,0.905893557392059
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,336,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.011304089905414755
fulltext_with_coords,recall_all_meta,0.0,0,0.011012448056653792
fulltext_with_coords,precision,0,0.0,0.0
