stage,metric,value,ci_lower,ci_upper
search,true_positives,22,,
search,false_negatives,0,,
search,false_positives,0,,
search,recall,1.0,0.8513404742740388,1
search,precision,1.0,0.8513404742740388,1
abstract,true_positives,0,,
abstract,false_negatives,22,,
abstract,false_positives,0,,
abstract,recall_in_search,0.0,1.3877787807814457e-17,0.14865952572596125
abstract,recall_all_meta,0.0,1.3877787807814457e-17,0.14865952572596125
abstract,precision,0,0.0,0.0
fulltext,true_positives,0,,
fulltext,false_negatives,0,,
fulltext,false_positives,0,,
fulltext,additional_false_negatives,0,,
fulltext,missing_full_text,1,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,22,,
fulltext,false_negatives_fulltext_only,0,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0,0.0,0.0
fulltext,recall_fulltext_only,0,0.0,0.0
fulltext,absolute_recall_all_texts,0.0,1.3877787807814457e-17,0.14865952572596125
fulltext,recall_all_meta,0.0,1.3877787807814457e-17,0.14865952572596125
fulltext,precision,0,0.0,0.0
fulltext,precision_fulltext_only,0,0.0,0.0
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,0,,
fulltext_with_coords,false_positives,8,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0,0.0,0.0
fulltext_with_coords,recall_all_meta,0.0,1.3877787807814457e-17,0.14865952572596125
fulltext_with_coords,precision,0.0,0,0.32441561951087694
