stage,metric,value,ci_lower,ci_upper
search,true_positives,364,,
search,false_negatives,1,,
search,false_positives,128,,
search,recall,0.9972602739726028,0.9846460873645747,0.9995162197070787
search,precision,0.7398373983739838,0.6993178447428781,0.7766406065044558
abstract,true_positives,344,,
abstract,false_negatives,20,,
abstract,false_positives,40,,
abstract,recall_in_search,0.945054945054945,0.9166603686122696,0.9641535469426865
abstract,recall_all_meta,0.9424657534246575,0.9136499405902418,0.9620647293385296
abstract,precision,0.8958333333333334,0.8612584717978939,0.9225666774382892
fulltext,true_positives,312,,
fulltext,false_negatives,51,,
fulltext,false_positives,24,,
fulltext,additional_false_negatives,31,,
fulltext,recall_in_search,0.859504132231405,0.8199797587470774,0.8914989830313906
fulltext,recall_all_meta,0.8547945205479452,0.8149548971798292,0.8872435533203314
fulltext,precision,0.9285714285714286,0.8959197815383323,0.951533855685598
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,363,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.010472094767878016
fulltext_with_coords,recall_all_meta,0.0,0,0.010415311071202379
fulltext_with_coords,precision,0,0.0,0.0
