stage,metric,value,ci_lower,ci_upper
search,true_positives,22,,
search,false_negatives,1,,
search,false_positives,322,,
search,recall,0.9565217391304348,0.7900841350594088,0.9922835330378734
search,precision,0.06395348837209303,0.0426095376608908,0.09492892812353522
abstract,true_positives,22,,
abstract,false_negatives,0,,
abstract,false_positives,136,,
abstract,recall_in_search,1.0,0.8513404742740388,1
abstract,recall_all_meta,0.9565217391304348,0.7900841350594088,0.9922835330378734
abstract,precision,0.13924050632911392,0.09378299285618732,0.20182456416252728
fulltext,true_positives,16,,
fulltext,false_negatives,3,,
fulltext,false_positives,8,,
fulltext,additional_false_negatives,3,,
fulltext,recall_in_search,0.8421052631578947,0.6243407235682331,0.9447962896007217
fulltext,recall_all_meta,0.6956521739130435,0.49133870939427393,0.8439617197902755
fulltext,precision,0.6666666666666666,0.4670595949408046,0.8202802131162036
