stage,metric,value,ci_lower,ci_upper
search,true_positives,126,,
search,false_negatives,0,,
search,false_positives,0,,
search,recall,1.0,0.9704131803674632,1
search,precision,1.0,0.9704131803674632,1
abstract,true_positives,0,,
abstract,false_negatives,126,,
abstract,false_positives,0,,
abstract,recall_in_search,0.0,0,0.029586819632536877
abstract,recall_all_meta,0.0,0,0.029586819632536877
abstract,precision,0,0.0,0.0
fulltext,true_positives,0,,
fulltext,false_negatives,0,,
fulltext,false_positives,0,,
fulltext,additional_false_negatives,0,,
fulltext,missing_full_text,61,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,126,,
fulltext,false_negatives_fulltext_only,0,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0,0.0,0.0
fulltext,recall_fulltext_only,0,0.0,0.0
fulltext,absolute_recall_all_texts,0.0,0,0.029586819632536877
fulltext,recall_all_meta,0.0,0,0.029586819632536877
fulltext,precision,0,0.0,0.0
fulltext,precision_fulltext_only,0,0.0,0.0
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,0,,
fulltext_with_coords,false_positives,49,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0,0.0,0.0
fulltext_with_coords,recall_all_meta,0.0,0,0.029586819632536877
fulltext_with_coords,precision,0.0,0,0.07270029673590504
