stage,metric,value,ci_lower,ci_upper
search,true_positives,224,,
search,false_negatives,12,,
search,false_positives,799,,
search,recall,0.9491525423728814,0.9132393739475034,0.9706773444199525
search,precision,0.21896383186705767,0.1946988960846948,0.2453315818390668
abstract,true_positives,223,,
abstract,false_negatives,1,,
abstract,false_positives,481,,
abstract,recall_in_search,0.9955357142857143,0.9751496060262478,0.9992115290781408
abstract,recall_all_meta,0.9449152542372882,0.9080485934142232,0.967529287987502
abstract,precision,0.31676136363636365,0.28346934126212064,0.3520423325360851
fulltext,true_positives,34,,
fulltext,false_negatives,2,,
fulltext,false_positives,76,,
fulltext,additional_false_negatives,1,,
fulltext,recall_in_search,0.9444444444444444,0.8185502589238879,0.9846303362329331
fulltext,recall_all_meta,0.1440677966101695,0.10496233108011335,0.1945753637985065
fulltext,precision,0.3090909090909091,0.23039855434915504,0.40066776938487547
