stage,metric,value,ci_lower,ci_upper
search,true_positives,127,,
search,false_negatives,44,,
search,false_positives,6320,,
search,recall,0.7426900584795322,0.6723400442709234,0.8023753552678591
search,precision,0.01969908484566465,0.0165818939254033,0.023388332595117686
abstract,true_positives,111,,
abstract,false_negatives,16,,
abstract,false_positives,1665,,
abstract,recall_in_search,0.8740157480314961,0.8051244448916736,0.9209443283425273
abstract,recall_all_meta,0.6491228070175439,0.5750288904421552,0.7166637044551689
abstract,precision,0.0625,0.05215890363680446,0.07472969139322518
fulltext,true_positives,55,,
fulltext,false_negatives,12,,
fulltext,false_positives,649,,
fulltext,additional_false_negatives,12,,
fulltext,missing_full_text,30,,
fulltext,incomplete_full_text,21,,
fulltext,false_negatives_all_texts,72,,
fulltext,false_negatives_fulltext_only,12,,
fulltext,omitted_incomplete_fulltext,21,,
fulltext,recall_in_search,0.8208955223880597,0.7125228638737021,0.8944651205874056
fulltext,recall_fulltext_only,0.8208955223880597,0.7125228638737021,0.8944651205874056
fulltext,absolute_recall_all_texts,0.4330708661417323,0.35010943520734455,0.5199624685296932
fulltext,recall_all_meta,0.3216374269005848,0.25620702762250214,0.3949057510297179
fulltext,precision,0.078125,0.0605119008062661,0.10031730165937026
fulltext,precision_fulltext_only,0.078125,0.0605119008062661,0.10031730165937026
fulltext_with_coords,true_positives,48,,
fulltext_with_coords,false_negatives,19,,
fulltext_with_coords,false_positives,474,,
fulltext_with_coords,omitted_incomplete_fulltext,21,,
fulltext_with_coords,recall_in_search,0.7164179104477612,0.5990653510922904,0.8102986384279914
fulltext_with_coords,recall_all_meta,0.2807017543859649,0.21874049084032365,0.3522998107812584
fulltext_with_coords,precision,0.09195402298850575,0.07005745470347151,0.11981265066666279
